"","id","town_name","num_fires","region","subregion","country"
"13",13,"LENA",929,"ASTURIAS","ASTURIAS","SPAIN"
"22",22,"TOMINO",818,"GALICIA","PONTEVEDRA","SPAIN"
"24",24,"GRADO",744,"ASTURIAS","ASTURIAS","SPAIN"
"37",37,"ARBO",641,"GALICIA","PONTEVEDRA","SPAIN"
"40",40,"ALLER",612,"ASTURIAS","ASTURIAS","SPAIN"
"43",43,"ESTRADA, A",588,"GALICIA","PONTEVEDRA","SPAIN"
"45",45,"RIOS",584,"GALICIA","OURENSE","SPAIN"
"68",68,"MOS",491,"GALICIA","PONTEVEDRA","SPAIN"
"93",93,"AMES",381,"GALICIA","A CORUNA","SPAIN"
"99",99,"VALDES",361,"ASTURIAS","ASTURIAS","SPAIN"
