"","id","town_name","num_fires","region","subregion","lon","lat"
"13",13,"LENA",929,"ASTURIAS","ASTURIAS",-89.8223426,42.3794586
"22",22,"TOMINO",818,"GALICIA","PONTEVEDRA",9.4505993,42.9436379
"24",24,"GRADO",744,"ASTURIAS","ASTURIAS",13.3863992,45.6817741
"37",37,"ARBO",641,"GALICIA","PONTEVEDRA",-89.6340164,31.7281514
"40",40,"ALLER",612,"ASTURIAS","ASTURIAS",1.897789,49.96312
"43",43,"ESTRADA, A",588,"GALICIA","PONTEVEDRA",-41.9499647,-4.1379619
"45",45,"RIOS",584,"GALICIA","OURENSE",-98.2650068,27.4517023
"68",68,"MOS",491,"GALICIA","PONTEVEDRA",-162.0628295,64.6946462
"93",93,"AMES",381,"GALICIA","A CORUNA",-93.6319131,42.0307812
"99",99,"VALDES",361,"ASTURIAS","ASTURIAS",-60.2428683,-33.3202302
